Akun,Tweet,Lokasi
https://twitter.com/FayaAtika,"Dorong penuntasan kemiskinan ekstrem di Jawa Tengah, Ganjar Pranowo siapkan Forum CSR bersama Perusahaan swasta

Ganjar memang tak pernah kehabisan ide utk membuat masyarakat Jateng makmur

#SahabatGanjar #Ganjar #ganjarpranowo https://t.co/PQTthOZjv4",
https://twitter.com/cltarine,@GanjaranApp @ganjarpranowo Pak Ganjar langsung turun tangan membenahi tanggul yang menyebabkan rendahnya pemukiman warga,
https://twitter.com/BajerCekek,@NephiLaxmus @ganjarpranowo Kelas jalan keliatan nya 3c. Bukan untuk kendaraan jenis ini.,
https://twitter.com/Ary_Prasetyo85,"Gubernur Jawa Tengah (Jateng) @ganjarpranowo membentuk tim terpadu untuk menata sektor pertambangan Jateng.

Hal itu diungkapkan Dirkrimsus Polda Jateng Kombes Dwi Subagio saat melakukan gelar perkara soal tambang ilegal dengan awak media.
#SahabatGanjar
https://t.co/FwBEWnW7hy",
https://twitter.com/gracia_tejo,@GanjaranApp @ganjarpranowo pak ganjar emang selalu memperhatikan warganya,
https://twitter.com/nur_andara,"@GanjaranApp @ganjarpranowo emang terbaik pemimpin satu ini,gaheran kenapa beliau dipilih banyak masyarakat",
https://twitter.com/Hanwen98780070,@ch_chotimah2 @ganjarpranowo Kalau jalan2 dibangun gak mungkin jateng terendam banjir se leher. Ngibulnye ketahuan lu nul..nul,
https://twitter.com/tzaynite,@GanjaranApp @ganjarpranowo Sangat bangga terhadap Pak Ganjar yang selalu cepat mengatasi banjir,
https://twitter.com/__RismaWidiono_,"Gubernur @ganjarpranowo mengajak Forum OSIS Jateng, untuk mengikuti Musrenbang, yg akan datang. Dan ingin mendengar langsung aspirasi dan ide dari pelajar, sekaligus memberikan ruang pembelajaran tentang perencanaan pembangunan daerah.

#SahabatGanjar https://t.co/5jlUYwyCG7",
https://twitter.com/arturquois,@GanjaranApp @ganjarpranowo Memang luar biasa si respon cepat Pak Ganjar untuk mengatasi banjir,
https://twitter.com/sjrbergerak,"Kak @erickthohir membanggakan !!!
@jokowi
@ganjarpranowo
@kawankitabangET

https://t.co/1rRGcIf3TI",
https://twitter.com/GpNtt24,"Gubernur Jawa Tengah Ganjar Pranowo gerak cepat untuk menangani tanggul jebol di Kudus.

Ganjar terus menghimbau agar pemda kabupaten hingga provinsi terkait ikut terlibat dan saling bekerja sama dalam mengatasi masalah ini.
#GanjarPranowo https://t.co/Y39qfG08BZ",
https://twitter.com/aan_muba,"Gub Jateng @ganjarpranowo gerak cepat untuk menangani tanggul jebol di Kudus.

Ganjar terus menghimbau agar pemda kabupaten hingga provinsi terkait ikut terlibat dan saling bekerja sama dalam mengatasi masalah ini.

#GANTARI 🇲🇨 https://t.co/7Hh26Cgwcp",
https://twitter.com/SDaltanzul,@Jelli_cent @ganjarpranowo Lamanya jam sekolah bukan jaminan,
https://twitter.com/_PabloRoby,@GanjaranApp @ganjarpranowo emang hebat pak Ganjar ini selalu gercep menangani bencana,
https://twitter.com/Ahmad66611340,@ch_chotimah2 @ganjarpranowo https://t.co/PVAAy7skEP,
